i,j,k,nx,ny,nz 
0,0,0,3.899343e-01,-1.682604e-01,9.053395e-01
0,0,1,1.790490e-01,-8.415258e-01,5.096820e-01
0,0,2,-5.122784e-01,4.751369e-02,8.575041e-01
0,0,3,6.716918e-01,-4.649642e-01,5.767482e-01
0,0,4,-6.023222e-01,-7.391731e-02,-7.948234e-01
0,0,5,-7.084960e-01,-3.896590e-01,5.883870e-01
0,0,6,3.307764e-01,-2.145925e-03,9.437067e-01
0,0,7,-4.156215e-01,-7.593063e-01,-5.007123e-01
0,0,8,-6.036801e-02,4.030692e-01,9.131763e-01
0,0,9,6.748970e-01,6.080676e-01,4.180525e-01
0,1,0,-1.372417e-01,9.827118e-01,1.242671e-01
0,1,1,-9.980110e-01,-5.342288e-03,-6.281393e-02
0,1,2,8.631082e-01,4.139250e-01,-2.893274e-01
0,1,3,-8.656324e-01,2.946770e-01,4.047789e-01
0,1,4,8.902030e-02,-4.512017e-01,8.879710e-01
0,1,5,1.558334e-01,4.242643e-01,-8.920290e-01
0,1,6,9.761541e-01,-1.709168e-01,-1.338303e-01
0,1,7,-5.246566e-01,3.181628e-01,-7.896252e-01
0,1,8,1.105269e-01,4.263601e-01,8.977755e-01
0,1,9,5.869831e-02,7.227127e-01,6.886514e-01
0,2,0,7.604903e-01,-2.130776e-01,-6.133942e-01
0,2,1,9.836146e-01,1.360289e-01,-1.183154e-01
0,2,2,8.825103e-01,4.525520e-01,1.279540e-01
0,2,3,-3.231582e-01,-9.461547e-01,-1.897608e-02
0,2,4,7.177813e-01,5.196119e-01,-4.634582e-01
0,2,5,5.473626e-01,7.973865e-01,-2.541043e-01
0,2,6,5.472582e-01,1.137037e-01,-8.292044e-01
0,2,7,-6.322651e-01,3.588917e-01,-6.866132e-01
0,2,8,-7.172310e-02,7.481228e-01,6.596727e-01
0,2,9,-6.045043e-03,-8.394594e-03,9.999465e-01
0,3,0,2.506532e-01,-6.998408e-01,6.688765e-01
0,3,1,2.383363e-01,-3.699337e-01,8.979670e-01
0,3,2,-1.425385e-01,8.751301e-01,4.624177e-01
0,3,3,-5.364169e-02,-8.803933e-01,-4.712008e-01
0,3,4,-5.767175e-01,4.571744e-01,6.770440e-01
0,3,5,5.596042e-01,-6.413861e-01,-5.248494e-01
0,3,6,2.238417e-01,-4.186836e-01,8.801130e-01
0,3,7,8.933193e-01,-4.443826e-01,6.711708e-02
0,3,8,2.174624e-01,-5.797896e-01,-7.852096e-01
0,3,9,-1.292987e-01,-8.011373e-01,-5.843465e-01
0,4,0,6.931598e-01,-6.824887e-01,2.318158e-01
0,4,1,-3.639451e-01,-1.673247e-01,9.162677e-01
0,4,2,5.391433e-01,-7.668748e-01,3.481775e-01
0,4,3,-3.301188e-01,-3.225346e-01,-8.871263e-01
0,4,4,8.258109e-01,-1.703397e-01,-5.376066e-01
0,4,5,6.154848e-01,-4.227863e-01,-6.651543e-01
0,4,6,1.711902e-01,5.632337e-01,-8.083698e-01
0,4,7,7.534212e-01,-1.383811e-01,6.428119e-01
0,4,8,7.606398e-01,2.811596e-01,5.851294e-01
0,4,9,1.013452e-01,-5.286806e-01,-8.427490e-01
0,5,0,-2.919419e-01,9.560223e-01,-2.813052e-02
0,5,1,4.292313e-01,8.016861e-01,-4.160047e-01
0,5,2,-3.295886e-01,-8.496326e-01,-4.116987e-01
0,5,3,4.902290e-01,3.031731e-01,-8.171668e-01
0,5,4,-5.756687e-01,-4.443498e-01,-6.864101e-01
0,5,5,6.556721e-01,-1.690540e-01,-7.358769e-01
0,5,6,2.364303e-01,-3.714610e-01,8.978404e-01
0,5,7,5.315113e-01,-2.417426e-01,8.118228e-01
0,5,8,9.048932e-01,2.748804e-01,3.249755e-01
0,5,9,9.005460e-01,-1.201841e-02,-4.345946e-01
